Driver,Team,LapNumber,LapTime,Stint,TyreLife,Compound,PitInTime,PitOutTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsAccurate,LapTimeSeconds
VER,Red Bull Racing,2.0,0 days 00:01:33.433000,1.0,2.0,MEDIUM,,,290.0,255.0,244.0,291.0,True,93.433
VER,Red Bull Racing,3.0,0 days 00:01:32.730000,1.0,3.0,MEDIUM,,,311.0,259.0,245.0,318.0,True,92.73
VER,Red Bull Racing,4.0,0 days 00:01:32.780000,1.0,4.0,MEDIUM,,,313.0,259.0,245.0,316.0,True,92.78
VER,Red Bull Racing,5.0,0 days 00:01:32.582000,1.0,5.0,MEDIUM,,,320.0,254.0,244.0,288.0,True,92.582
VER,Red Bull Racing,6.0,0 days 00:01:33.027000,1.0,6.0,MEDIUM,,,290.0,255.0,245.0,285.0,True,93.027
VER,Red Bull Racing,7.0,0 days 00:01:33.100000,1.0,7.0,MEDIUM,,,292.0,255.0,245.0,287.0,True,93.1
VER,Red Bull Racing,8.0,0 days 00:01:32.884000,1.0,8.0,MEDIUM,,,293.0,256.0,245.0,287.0,True,92.884
VER,Red Bull Racing,9.0,0 days 00:01:32.822000,1.0,9.0,MEDIUM,,,291.0,257.0,246.0,288.0,True,92.822
VER,Red Bull Racing,10.0,0 days 00:01:32.594000,1.0,10.0,MEDIUM,,,293.0,257.0,245.0,287.0,True,92.594
VER,Red Bull Racing,11.0,0 days 00:01:32.597000,1.0,11.0,MEDIUM,,,292.0,256.0,246.0,287.0,True,92.597
VER,Red Bull Racing,12.0,0 days 00:01:32.687000,1.0,12.0,MEDIUM,,,293.0,256.0,244.0,288.0,True,92.687
VER,Red Bull Racing,13.0,0 days 00:01:32.678000,1.0,13.0,MEDIUM,,,293.0,256.0,244.0,287.0,True,92.678
VER,Red Bull Racing,14.0,0 days 00:01:33.046000,1.0,14.0,MEDIUM,,,289.0,255.0,246.0,289.0,True,93.046
VER,Red Bull Racing,15.0,0 days 00:01:32.990000,1.0,15.0,MEDIUM,,,289.0,255.0,245.0,290.0,True,92.99
VER,Red Bull Racing,16.0,0 days 00:01:32.808000,1.0,16.0,MEDIUM,,,291.0,257.0,245.0,291.0,True,92.808
VER,Red Bull Racing,17.0,0 days 00:01:32.603000,1.0,17.0,MEDIUM,,,289.0,256.0,246.0,290.0,True,92.603
VER,Red Bull Racing,18.0,0 days 00:01:32.507000,1.0,18.0,MEDIUM,,,290.0,256.0,245.0,293.0,True,92.507
VER,Red Bull Racing,19.0,0 days 00:01:32.338000,1.0,19.0,MEDIUM,,,290.0,256.0,246.0,291.0,True,92.338
VER,Red Bull Racing,20.0,0 days 00:01:32.295000,1.0,20.0,MEDIUM,,,290.0,257.0,247.0,293.0,True,92.295
VER,Red Bull Racing,21.0,0 days 00:01:32.494000,1.0,21.0,MEDIUM,,,290.0,256.0,247.0,292.0,True,92.494
VER,Red Bull Racing,22.0,0 days 00:01:32.184000,1.0,22.0,MEDIUM,,,290.0,257.0,246.0,292.0,True,92.184
VER,Red Bull Racing,23.0,0 days 00:01:32.272000,1.0,23.0,MEDIUM,,,290.0,256.0,246.0,294.0,True,92.272
VER,Red Bull Racing,24.0,0 days 00:01:32.350000,1.0,24.0,MEDIUM,,,291.0,257.0,246.0,294.0,True,92.35
VER,Red Bull Racing,25.0,0 days 00:01:32.295000,1.0,25.0,MEDIUM,,,289.0,257.0,247.0,297.0,True,92.295
VER,Red Bull Racing,26.0,0 days 00:01:32.276000,1.0,26.0,MEDIUM,,,288.0,257.0,247.0,292.0,True,92.276
VER,Red Bull Racing,27.0,0 days 00:01:32.138000,1.0,27.0,MEDIUM,,,290.0,257.0,247.0,294.0,True,92.138
VER,Red Bull Racing,28.0,0 days 00:01:32.215000,1.0,28.0,MEDIUM,,,289.0,256.0,248.0,295.0,True,92.215
VER,Red Bull Racing,29.0,0 days 00:01:32.251000,1.0,29.0,MEDIUM,,,290.0,257.0,248.0,295.0,True,92.251
VER,Red Bull Racing,30.0,0 days 00:01:32.363000,1.0,30.0,MEDIUM,,,289.0,257.0,247.0,293.0,True,92.363
VER,Red Bull Racing,31.0,0 days 00:01:32.388000,1.0,31.0,MEDIUM,,,289.0,258.0,248.0,293.0,True,92.388
VER,Red Bull Racing,32.0,0 days 00:01:32.210000,1.0,32.0,MEDIUM,,,289.0,259.0,248.0,293.0,True,92.21
VER,Red Bull Racing,39.0,0 days 00:01:30.348000,2.0,9.0,SOFT,,,298.0,260.0,249.0,289.0,True,90.348
VER,Red Bull Racing,40.0,0 days 00:01:30.547000,2.0,10.0,SOFT,,,291.0,261.0,249.0,290.0,True,90.547
VER,Red Bull Racing,41.0,0 days 00:01:30.688000,2.0,11.0,SOFT,,,294.0,261.0,250.0,294.0,True,90.688
VER,Red Bull Racing,42.0,0 days 00:01:30.275000,2.0,12.0,SOFT,,,294.0,264.0,250.0,293.0,True,90.275
VER,Red Bull Racing,43.0,0 days 00:01:30.535000,2.0,13.0,SOFT,,,295.0,262.0,248.0,294.0,True,90.535
VER,Red Bull Racing,44.0,0 days 00:01:30.648000,2.0,14.0,SOFT,,,295.0,262.0,250.0,293.0,True,90.648
VER,Red Bull Racing,45.0,0 days 00:01:31.342000,2.0,15.0,SOFT,,,297.0,261.0,247.0,291.0,True,91.342
VER,Red Bull Racing,46.0,0 days 00:01:31.114000,2.0,16.0,SOFT,,,298.0,262.0,248.0,293.0,True,91.114
VER,Red Bull Racing,47.0,0 days 00:01:31.148000,2.0,17.0,SOFT,,,297.0,263.0,249.0,292.0,True,91.148
VER,Red Bull Racing,48.0,0 days 00:01:31.400000,2.0,18.0,SOFT,,,297.0,260.0,249.0,289.0,True,91.4
VER,Red Bull Racing,49.0,0 days 00:01:31.218000,2.0,19.0,SOFT,,,299.0,261.0,249.0,290.0,True,91.218
VER,Red Bull Racing,50.0,0 days 00:01:31.292000,2.0,20.0,SOFT,,,299.0,262.0,249.0,291.0,True,91.292
VER,Red Bull Racing,51.0,0 days 00:01:31.397000,2.0,21.0,SOFT,,,299.0,262.0,250.0,290.0,True,91.397
VER,Red Bull Racing,52.0,0 days 00:01:30.975000,2.0,22.0,SOFT,,,299.0,262.0,249.0,291.0,True,90.975
GAS,Alpine,2.0,0 days 00:01:34.706000,1.0,2.0,MEDIUM,,,289.0,249.0,244.0,294.0,True,94.706
GAS,Alpine,3.0,0 days 00:01:33.605000,1.0,3.0,MEDIUM,,,306.0,253.0,244.0,317.0,True,93.605
GAS,Alpine,4.0,0 days 00:01:33.349000,1.0,4.0,MEDIUM,,,304.0,254.0,245.0,314.0,True,93.349
GAS,Alpine,5.0,0 days 00:01:33.863000,1.0,5.0,MEDIUM,,,302.0,251.0,244.0,293.0,True,93.863
GAS,Alpine,6.0,0 days 00:01:34.143000,1.0,6.0,MEDIUM,,,302.0,252.0,244.0,310.0,True,94.143
GAS,Alpine,7.0,0 days 00:01:34.399000,1.0,7.0,MEDIUM,,,302.0,253.0,243.0,313.0,True,94.399
GAS,Alpine,8.0,0 days 00:01:33.905000,1.0,8.0,MEDIUM,,,299.0,254.0,243.0,310.0,True,93.905
GAS,Alpine,9.0,0 days 00:01:33.592000,1.0,9.0,MEDIUM,,,300.0,253.0,244.0,311.0,True,93.592
GAS,Alpine,10.0,0 days 00:01:33.855000,1.0,10.0,MEDIUM,,,300.0,252.0,244.0,307.0,True,93.855
GAS,Alpine,11.0,0 days 00:01:33.836000,1.0,11.0,MEDIUM,,,298.0,252.0,242.0,305.0,True,93.836
GAS,Alpine,12.0,0 days 00:01:33.705000,1.0,12.0,MEDIUM,,,299.0,252.0,245.0,305.0,True,93.705
GAS,Alpine,13.0,0 days 00:01:33.683000,1.0,13.0,MEDIUM,,,299.0,253.0,245.0,304.0,True,93.683
GAS,Alpine,14.0,0 days 00:01:33.843000,1.0,14.0,MEDIUM,,,296.0,254.0,245.0,306.0,True,93.843
GAS,Alpine,15.0,0 days 00:01:33.769000,1.0,15.0,MEDIUM,,,313.0,255.0,245.0,307.0,True,93.769
GAS,Alpine,16.0,0 days 00:01:33.535000,1.0,16.0,MEDIUM,,,297.0,253.0,245.0,303.0,True,93.535
GAS,Alpine,17.0,0 days 00:01:33.138000,1.0,17.0,MEDIUM,,,298.0,254.0,244.0,306.0,True,93.138
GAS,Alpine,18.0,0 days 00:01:33.291000,1.0,18.0,MEDIUM,,,297.0,254.0,246.0,306.0,True,93.291
GAS,Alpine,19.0,0 days 00:01:33.199000,1.0,19.0,MEDIUM,,,316.0,255.0,246.0,307.0,True,93.199
GAS,Alpine,20.0,0 days 00:01:33.248000,1.0,20.0,MEDIUM,,,294.0,255.0,245.0,305.0,True,93.248
GAS,Alpine,21.0,0 days 00:01:33.098000,1.0,21.0,MEDIUM,,,294.0,254.0,245.0,306.0,True,93.098
GAS,Alpine,22.0,0 days 00:01:33.168000,1.0,22.0,MEDIUM,,,295.0,256.0,244.0,305.0,True,93.168
GAS,Alpine,23.0,0 days 00:01:32.846000,1.0,23.0,MEDIUM,,,296.0,255.0,244.0,307.0,True,92.846
GAS,Alpine,24.0,0 days 00:01:33.164000,1.0,24.0,MEDIUM,,,296.0,256.0,245.0,306.0,True,93.164
GAS,Alpine,25.0,0 days 00:01:33.098000,1.0,25.0,MEDIUM,,,295.0,256.0,246.0,306.0,True,93.098
GAS,Alpine,26.0,0 days 00:01:33.243000,1.0,26.0,MEDIUM,,,296.0,256.0,243.0,307.0,True,93.243
GAS,Alpine,27.0,0 days 00:01:32.988000,1.0,27.0,MEDIUM,,,280.0,255.0,246.0,305.0,True,92.988
GAS,Alpine,28.0,0 days 00:01:33.255000,1.0,28.0,MEDIUM,,,280.0,253.0,247.0,288.0,True,93.255
GAS,Alpine,29.0,0 days 00:01:33.283000,1.0,29.0,MEDIUM,,,280.0,254.0,247.0,286.0,True,93.283
GAS,Alpine,30.0,0 days 00:01:33.299000,1.0,30.0,MEDIUM,,,280.0,255.0,246.0,287.0,True,93.299
GAS,Alpine,39.0,0 days 00:01:32.980000,2.0,11.0,SOFT,,,293.0,255.0,250.0,297.0,True,92.98
